epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,176.611,1.17625,5.1274,0.22975,1.17933,1.34302,0.87565,0.78689,0.90801,0.31996,0.32925,0.34426,0.14934,0.0286,1.74259,5.84895,0.02206,1.28964,1.80984,0.0011915,0.0011915,0.0011915
51,180.095,1.17404,5.16741,0.21288,1.21593,1.36477,0.86821,0.80328,0.90728,0.32525,0.39457,0.40984,0.22123,0.0402,1.77149,5.67747,0.02138,1.21296,1.83471,0.001175,0.001175,0.001175
52,183.591,1.10235,4.80207,0.22332,1.2146,1.35731,0.89072,0.80172,0.9075,0.3358,0.28988,0.39344,0.156,0.02772,1.76489,5.42113,0.01743,1.19191,1.81231,0.0011585,0.0011585,0.0011585
53,187.043,1.21105,4.89675,0.23307,1.27781,1.40486,0.82977,0.77049,0.89449,0.31838,0.3196,0.44667,0.18216,0.02982,1.75492,5.36131,0.01731,1.21846,1.78964,0.001142,0.001142,0.001142
54,190.571,1.17741,4.74792,0.26156,1.29669,1.41576,0.83798,0.7541,0.89535,0.41798,0.22451,0.27869,0.1055,0.02374,1.56755,5.79522,0.01777,1.09508,1.60805,0.0011255,0.0011255,0.0011255
55,194.047,1.09894,4.88518,0.20983,1.19732,1.25863,0.84695,0.78689,0.90453,0.41723,0.20544,0.31148,0.09342,0.01758,1.57809,6.27197,0.0153,1.09502,1.63055,0.001109,0.001109,0.001109
56,197.525,1.18019,5.16048,0.23533,1.23435,1.38038,0.84787,0.73099,0.88007,0.29515,0.25086,0.34426,0.13012,0.0252,1.76752,5.84343,0.01509,1.30713,1.85184,0.0010925,0.0010925,0.0010925
57,201.033,1.23744,4.89667,0.2248,1.19878,1.38607,0.78976,0.80057,0.89744,0.36202,0.38714,0.42461,0.2354,0.0596,1.57409,5.30161,0.01747,1.2825,1.68595,0.001076,0.001076,0.001076
58,204.532,1.19529,4.94683,0.24963,1.20694,1.41075,0.81013,0.76944,0.8856,0.44238,0.31456,0.39878,0.17298,0.06992,1.40894,5.48188,0.02443,1.17757,1.54064,0.0010595,0.0010595,0.0010595
59,208.124,1.15818,4.74077,0.28696,1.35809,1.36555,0.81013,0.76944,0.8856,0.44238,0.31456,0.39878,0.17298,0.06992,1.40894,5.48188,0.02443,1.17757,1.54064,0.001043,0.001043,0.001043
