epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
62,66.7205,0.56122,0.41242,1.36049,0.0469,0.99909,1,0.995,0.93917,0.4035,0.32179,1.2737,0.01741,0.0007922,0.0007922,0.0007922
63,67.7616,0.52745,0.3968,1.32358,0.05132,0.9991,1,0.995,0.93819,0.40044,0.33573,1.27823,0.02199,0.0007724,0.0007724,0.0007724
64,68.7521,0.51159,0.40929,1.35893,0.03316,0.99904,1,0.995,0.93812,0.39987,0.32382,1.26226,0.02339,0.0007526,0.0007526,0.0007526
65,69.745,0.46821,0.37084,1.31411,0.03606,0.99909,1,0.995,0.92943,0.4014,0.31686,1.24498,0.02737,0.0007328,0.0007328,0.0007328
66,70.7397,0.51441,0.38629,1.32722,0.04224,0.99909,1,0.995,0.93031,0.39758,0.31112,1.2439,0.02685,0.000713,0.000713,0.000713
67,71.764,0.55458,0.41166,1.34092,0.04104,0.99908,1,0.995,0.94194,0.38356,0.31102,1.25247,0.02659,0.0006932,0.0006932,0.0006932
68,72.8055,0.5388,0.40721,1.36608,0.03875,0.99908,1,0.995,0.95182,0.37652,0.31436,1.26551,0.01963,0.0006734,0.0006734,0.0006734
69,73.8567,0.52031,0.39002,1.3651,0.04077,0.99908,1,0.995,0.95669,0.37947,0.32118,1.26043,0.02499,0.0006536,0.0006536,0.0006536
70,74.9388,0.50028,0.39538,1.31947,0.03189,0.99907,1,0.995,0.93959,0.39416,0.3174,1.25939,0.02051,0.0006338,0.0006338,0.0006338
71,75.9696,0.52052,0.39929,1.3362,0.03513,0.99907,1,0.995,0.93667,0.39474,0.31239,1.2574,0.01884,0.000614,0.000614,0.000614
72,77.0053,0.51961,0.39783,1.33525,0.04191,0.99908,1,0.995,0.94181,0.37451,0.3049,1.26186,0.01881,0.0005942,0.0005942,0.0005942
73,78.0226,0.52395,0.39897,1.38093,0.03981,0.99905,1,0.995,0.94926,0.37103,0.30616,1.26789,0.01848,0.0005744,0.0005744,0.0005744
74,79.0222,0.47569,0.3806,1.35562,0.03571,0.99905,1,0.995,0.9532,0.36795,0.30821,1.2662,0.01846,0.0005546,0.0005546,0.0005546
75,80.0564,0.52976,0.39864,1.37112,0.04759,0.99904,1,0.995,0.94827,0.36412,0.30965,1.26062,0.02008,0.0005348,0.0005348,0.0005348
76,81.0622,0.45604,0.3741,1.29901,0.03998,0.99904,1,0.995,0.94875,0.35982,0.30736,1.25643,0.01851,0.000515,0.000515,0.000515
77,82.0834,0.47946,0.37621,1.33174,0.0372,0.99905,1,0.995,0.94895,0.35565,0.3062,1.25269,0.01685,0.0004952,0.0004952,0.0004952
78,83.1026,0.48705,0.37192,1.34912,0.03702,0.99904,1,0.995,0.95334,0.35368,0.30102,1.25643,0.01694,0.0004754,0.0004754,0.0004754
79,84.1191,0.50196,0.39385,1.34553,0.03908,0.99904,1,0.995,0.95727,0.35596,0.29769,1.25315,0.01784,0.0004556,0.0004556,0.0004556
80,85.167,0.4714,0.36007,1.34483,0.04078,0.99905,1,0.995,0.94751,0.35812,0.29511,1.24894,0.01911,0.0004358,0.0004358,0.0004358
81,86.1711,0.48914,0.37649,1.34982,0.03358,0.99905,1,0.995,0.94834,0.36317,0.29251,1.24729,0.02014,0.000416,0.000416,0.000416
82,87.178,0.53306,0.38767,1.33807,0.03777,0.99904,1,0.995,0.95003,0.36226,0.29163,1.24802,0.01951,0.0003962,0.0003962,0.0003962
83,88.1971,0.45307,0.36358,1.28656,0.02563,0.99905,1,0.995,0.95065,0.35789,0.29111,1.25125,0.01922,0.0003764,0.0003764,0.0003764
84,89.2263,0.45392,0.36445,1.32594,0.03326,0.99906,1,0.995,0.95039,0.35604,0.2901,1.25489,0.01906,0.0003566,0.0003566,0.0003566
85,90.2495,0.46061,0.36049,1.31944,0.0306,0.99906,1,0.995,0.94886,0.35464,0.28675,1.25056,0.01914,0.0003368,0.0003368,0.0003368
86,91.2629,0.45645,0.37375,1.31811,0.0282,0.99905,1,0.995,0.94671,0.35499,0.29309,1.24848,0.01826,0.000317,0.000317,0.000317
87,92.2855,0.45296,0.36094,1.29544,0.02826,0.99905,1,0.995,0.94997,0.35844,0.29307,1.24627,0.01812,0.0002972,0.0002972,0.0002972
