epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,153.091,1.25418,5.82176,0.22018,1.28045,1.36099,0.875,0.68852,0.66742,0.24613,0.17131,0.13115,0.02673,0.00423,1.63841,6.21385,0.02164,1.24507,1.74909,0.0014324,0.0014324,0.0014324
45,156.521,1.31847,5.7257,0.20784,1.31176,1.39739,0.87037,0.77049,0.74719,0.31117,0.15355,0.11475,0.02187,0.00391,1.54594,6.23595,0.02659,1.27724,1.6281,0.0014192,0.0014192,0.0014192
46,159.943,1.28435,5.96986,0.28036,1.31123,1.45898,0.86465,0.77049,0.74684,0.22303,0.16071,0.14754,0.02417,0.00341,1.72782,6.1642,0.02721,1.4391,1.79065,0.001406,0.001406,0.001406
47,163.415,1.22922,5.6379,0.17638,1.27636,1.41689,0.9,0.7377,0.70627,0.12951,0.26644,0.21311,0.06353,0.00773,1.89776,5.91177,0.02627,1.56715,2.00135,0.0013928,0.0013928,0.0013928
48,166.863,1.19322,5.70339,0.23246,1.23782,1.35646,0.86538,0.7377,0.7215,0.19144,0.16801,0.13115,0.02698,0.00312,1.721,5.89482,0.02082,1.56997,1.80062,0.0013796,0.0013796,0.0013796
49,170.325,1.17429,5.48764,0.28247,1.23882,1.38373,0.87037,0.77049,0.75648,0.24948,0.35843,0.2623,0.12861,0.02192,1.62242,5.88133,0.01906,1.69381,1.70389,0.0013664,0.0013664,0.0013664
50,173.829,1.17348,5.52216,0.21847,1.20054,1.33597,0.88235,0.7377,0.72076,0.24109,0.29412,0.2459,0.10773,0.02014,1.6804,5.92264,0.01952,1.51783,1.74514,0.0013532,0.0013532,0.0013532
51,177.301,1.18095,5.49501,0.21044,1.22929,1.3577,0.89796,0.72131,0.71045,0.31544,0.20408,0.16393,0.05381,0.01102,1.53284,5.90647,0.01947,1.18382,1.60076,0.00134,0.00134,0.00134
52,180.742,1.13414,5.11746,0.21321,1.23367,1.35774,0.88636,0.63934,0.6253,0.23264,0.15909,0.11475,0.0205,0.00324,1.62311,6.01378,0.01964,1.21662,1.6793,0.0013268,0.0013268,0.0013268
53,184.195,1.23427,5.33549,0.21768,1.30199,1.41049,0.90698,0.63934,0.62568,0.18966,0.28159,0.16393,0.12685,0.01368,1.79603,5.91771,0.01885,1.52288,1.85227,0.0013136,0.0013136,0.0013136
54,187.659,1.20174,5.05042,0.25811,1.31403,1.42337,0.88636,0.63934,0.62434,0.28964,0.31829,0.09836,0.0668,0.00766,1.55379,5.93428,0.01735,1.25511,1.65294,0.0013004,0.0013004,0.0013004
